date_of_interest,BX_CASE_COUNT,BK_CASE_COUNT,MN_CASE_COUNT,QN_CASE_COUNT,SI_CASE_COUNT
04/14/2020,1076,1038,440,1300,290
04/15/2020,1068,882,429,1180,317
04/16/2020,940,885,355,1139,211
04/17/2020,916,962,330,1099,279
04/18/2020,552,575,187,705,153
04/19/2020,532,635,176,866,134
04/20/2020,981,983,381,1223,224
04/21/2020,641,896,371,937,216
04/22/2020,927,854,382,1109,173
04/23/2020,735,786,400,793,127
04/24/2020,579,630,408,775,143
04/25/2020,418,404,145,540,88
04/26/2020,196,332,98,331,46
04/27/2020,551,607,302,723,107
04/28/2020,668,709,323,896,130
04/29/2020,557,683,285,691,124
04/30/2020,482,600,217,593,130
05/01/2020,450,497,240,622,78
05/02/2020,263,263,138,333,61
05/03/2020,153,245,103,251,35
05/04/2020,349,461,214,437,89
05/05/2020,294,432,242,462,82
05/06/2020,279,450,165,443,60
05/07/2020,298,403,119,358,60
05/08/2020,250,344,99,344,42
05/09/2020,175,119,75,256,32
05/10/2020,75,188,95,85,14
05/11/2020,226,410,192,376,27
05/12/2020,355,400,163,314,53
05/13/2020,461,362,156,307,47
05/14/2020,255,332,149,332,42
05/15/2020,181,259,135,265,33
05/16/2020,108,165,51,136,25
05/17/2020,56,138,50,106,10
05/18/2020,187,266,128,275,38
05/19/2020,182,327,165,287,42
05/20/2020,278,323,164,256,56
05/21/2020,199,336,145,311,78
05/22/2020,264,350,153,237,32
05/23/2020,90,143,47,138,37
05/24/2020,101,161,69,121,15
05/25/2020,103,160,69,116,16
05/26/2020,283,313,127,269,58
05/27/2020,184,242,107,165,43
05/28/2020,119,219,97,181,30
05/29/2020,164,161,74,212,27
05/30/2020,82,101,38,110,15
05/31/2020,30,84,25,79,12
06/01/2020,158,250,77,158,43
06/02/2020,123,178,72,163,34
06/03/2020,116,131,75,148,45
06/04/2020,127,127,86,148,29
06/05/2020,108,131,52,103,8
06/06/2020,50,58,33,99,7
06/07/2020,43,52,24,74,4
06/08/2020,96,111,75,146,19
06/09/2020,84,119,66,131,19
06/10/2020,75,99,67,108,14
06/11/2020,66,113,54,114,16
06/12/2020,80,122,58,131,18
06/13/2020,47,50,23,74,2
06/14/2020,27,53,28,68,4
06/15/2020,81,103,55,123,18
06/16/2020,80,132,67,120,20
06/17/2020,68,115,65,92,16
06/18/2020,60,112,58,123,25
06/19/2020,82,91,56,123,9
06/20/2020,53,46,44,54,6
06/21/2020,25,55,25,58,9
06/22/2020,92,110,63,119,18
06/23/2020,73,95,76,121,16
06/24/2020,90,101,73,103,14
06/25/2020,65,81,46,78,28
06/26/2020,66,95,63,77,16
06/27/2020,26,70,37,60,13
06/28/2020,35,57,41,57,11
06/29/2020,75,127,80,132,23
06/30/2020,77,127,94,114,29
07/01/2020,59,121,83,93,39
07/02/2020,76,127,79,117,17
07/03/2020,41,72,48,64,8
07/04/2020,21,23,32,32,12
07/05/2020,20,53,32,38,12
07/06/2020,68,142,76,117,28
07/07/2020,112,123,88,106,32
07/08/2020,83,121,120,88,25
07/09/2020,91,104,85,94,18
07/10/2020,65,90,47,91,13
07/11/2020,40,73,47,86,13
07/12/2020,44,55,42,69,13
07/13/2020,108,123,79,138,35
07/14/2020,70,111,81,121,19
07/15/2020,107,150,70,91,22
07/16/2020,94,90,83,109,35
07/17/2020,75,106,104,106,22
07/18/2020,54,58,36,49,19
07/19/2020,39,41,33,46,17
07/20/2020,95,85,80,109,32
07/21/2020,71,79,69,100,21
07/22/2020,79,95,58,76,20
07/23/2020,69,84,65,63,27
07/24/2020,73,68,54,75,28
07/25/2020,25,35,34,46,13
07/26/2020,30,40,18,33,19
07/27/2020,58,78,71,79,26
07/28/2020,58,106,58,73,18
07/29/2020,80,73,54,67,13
07/30/2020,58,99,44,61,12
07/31/2020,55,80,51,58,18
08/01/2020,37,58,33,54,7
08/02/2020,30,38,26,33,8
08/03/2020,96,93,56,84,19
08/04/2020,47,49,38,46,7
08/05/2020,66,90,47,80,15
08/06/2020,65,86,53,66,18
08/07/2020,53,90,49,57,6
08/08/2020,30,57,23,43,7
08/09/2020,19,48,18,36,12
08/10/2020,89,75,49,77,22
08/11/2020,70,82,42,51,18
08/12/2020,59,114,43,86,18
08/13/2020,61,86,50,67,12
08/14/2020,68,80,44,69,16
08/15/2020,42,33,25,42,9
08/16/2020,23,49,22,39,7
08/17/2020,71,96,57,95,14
08/18/2020,55,66,61,87,14
08/19/2020,50,69,51,69,18
08/20/2020,64,56,33,54,20
08/21/2020,52,75,51,60,14
08/22/2020,29,36,30,34,7
08/23/2020,32,55,16,40,7
08/24/2020,64,85,49,84,15
08/25/2020,64,84,54,69,12
08/26/2020,64,117,50,66,16
08/27/2020,53,99,48,61,13
08/28/2020,77,78,52,52,21
08/29/2020,28,38,23,32,7
08/30/2020,20,62,37,42,25
08/31/2020,46,118,52,77,22
09/01/2020,52,89,55,73,24
09/02/2020,42,94,48,69,17
09/03/2020,40,91,35,90,17
09/04/2020,44,71,30,59,26
09/05/2020,30,46,22,34,24
09/06/2020,18,87,27,62,13
09/07/2020,32,75,40,52,18
09/08/2020,81,126,58,98,30
09/09/2020,56,119,71,82,25
09/10/2020,45,124,57,70,27
09/11/2020,55,111,54,77,16
09/12/2020,35,51,36,61,19
09/13/2020,19,118,45,68,13
09/14/2020,75,178,77,105,26
09/15/2020,62,189,65,81,18
09/16/2020,60,200,84,94,18
09/17/2020,61,163,88,104,25
09/18/2020,45,108,46,69,24
09/19/2020,30,66,48,60,13
09/20/2020,32,78,46,43,21
09/21/2020,73,264,75,122,24
09/22/2020,67,209,88,107,26
09/23/2020,89,271,100,115,37
09/24/2020,71,263,82,100,26
09/25/2020,49,192,69,125,28
09/26/2020,42,109,35,61,33
09/27/2020,32,181,35,106,28
09/28/2020,82,139,58,110,47
09/29/2020,65,355,95,175,33
09/30/2020,52,284,93,135,41
10/01/2020,82,332,120,145,26
10/02/2020,80,271,78,140,36
10/03/2020,34,93,57,98,17
10/04/2020,34,162,29,84,26
10/05/2020,94,355,84,196,37
10/06/2020,67,251,79,145,29
10/07/2020,75,223,74,132,37
10/08/2020,83,218,80,112,33
10/09/2020,92,184,74,143,31
10/10/2020,36,96,46,99,36
10/11/2020,38,115,29,85,14
10/12/2020,53,223,85,116,37
10/13/2020,91,224,100,128,45
10/14/2020,89,215,86,159,33
10/15/2020,91,239,90,143,40
10/16/2020,78,163,91,132,38
10/17/2020,64,91,61,110,39
10/18/2020,45,172,39,123,33
10/19/2020,107,204,101,178,36
10/20/2020,91,214,104,154,38
10/21/2020,96,203,118,188,49
10/22/2020,122,242,137,182,76
10/23/2020,115,199,78,161,48
10/24/2020,73,120,58,103,32
10/25/2020,67,128,48,87,32
10/26/2020,132,221,118,154,69
10/27/2020,119,237,129,180,76
10/28/2020,124,231,135,203,90
10/29/2020,100,192,117,156,56
10/30/2020,115,192,102,168,77
10/31/2020,65,117,52,117,52
11/01/2020,57,231,66,102,45
11/02/2020,159,337,144,220,93
11/03/2020,153,319,158,181,92
11/04/2020,187,312,199,277,138
11/05/2020,198,312,212,306,111
11/06/2020,192,238,179,297,131
11/07/2020,134,224,148,250,89
11/08/2020,106,224,133,226,99
11/09/2020,240,418,268,417,202
11/10/2020,274,459,311,408,146
11/11/2020,239,394,290,448,169
11/12/2020,248,383,300,406,164
11/13/2020,272,356,263,430,173
11/14/2020,193,238,159,324,111
11/15/2020,135,232,134,243,152
11/16/2020,314,496,332,503,187
11/17/2020,337,493,288,422,190
11/18/2020,307,467,336,446,197
11/19/2020,362,491,347,457,200
11/20/2020,328,435,328,458,224
11/21/2020,254,354,196,325,161
11/22/2020,183,340,159,287,178
11/23/2020,437,575,411,605,289
11/24/2020,376,553,372,535,238
11/25/2020,425,632,384,635,295
11/26/2020,137,246,138,204,92
11/27/2020,387,603,386,650,273
11/28/2020,333,453,329,509,215
11/29/2020,244,562,299,506,280
11/30/2020,460,899,424,734,378
12/01/2020,589,948,551,858,363
12/02/2020,540,861,502,843,384
12/03/2020,523,847,455,783,337
12/04/2020,562,768,402,757,328
12/05/2020,325,506,210,597,249
12/06/2020,249,556,216,517,216
12/07/2020,554,965,449,967,370
12/08/2020,496,923,450,900,291
12/09/2020,528,913,496,851,318
12/10/2020,571,940,463,897,277
12/11/2020,501,837,494,880,266
12/12/2020,392,600,298,699,218
12/13/2020,311,646,297,676,248
12/14/2020,614,1111,500,1005,350
12/15/2020,634,1065,551,1092,339
12/16/2020,445,842,454,811,236
12/17/2020,266,649,336,489,186
12/18/2020,619,1024,521,928,335
12/19/2020,405,764,331,797,260
12/20/2020,292,768,295,698,293
12/21/2020,717,1307,598,1287,429
12/22/2020,732,1251,549,1207,364
12/23/2020,635,1100,525,1185,399
12/24/2020,503,965,433,874,241
12/25/2020,154,345,153,298,96
12/26/2020,537,1024,427,1072,393
12/27/2020,480,915,314,867,312
12/28/2020,1020,1601,679,1531,562
12/29/2020,993,1415,613,1602,584
12/30/2020,968,1398,661,1493,465
12/31/2020,665,936,396,1008,387
01/01/2021,206,416,163,434,122
01/02/2021,723,1107,519,1341,509
01/03/2021,514,1065,396,1092,400
01/04/2021,1257,1896,917,1879,658
01/05/2021,1166,1759,892,1822,518
01/06/2021,1109,1606,758,1687,525
01/07/2021,982,1640,799,1572,452
01/08/2021,985,1455,780,1602,481
01/09/2021,677,1009,447,1190,371
01/10/2021,462,1008,366,1020,344
01/11/2021,1142,1755,845,1704,469
01/12/2021,999,1615,671,1539,415
01/13/2021,1045,1534,695,1528,378
